city,date,fare,ride_id
Lake Jonathanshire,2019-01-14 10:14:22,13.83,5.73941E+12
South Michelleport,2019-03-04 18:24:09,30.24,2.34391E+12
Port Samanthamouth,2019-02-24 04:29:00,33.44,2.00507E+12
Rodneyfort,2019-02-10 23:22:03,23.44,5.14925E+12
South Jack,2019-03-06 04:28:35,34.58,3.90845E+12
South Latoya,2019-03-11 12:26:48,9.52,1.995E+12
New Paulville,2019-02-27 11:17:56,43.25,7.93208E+11
Simpsonburgh,2019-04-26 00:43:24,35.98,1.11954E+11
South Karenland,2019-01-08 03:28:48,35.09,7.99562E+12
North Jasmine,2019-03-09 06:26:29,42.81,5.32764E+12
New Kimberlyborough,2019-02-07 01:10:11,9.34,7.99278E+12
West Angela,2019-01-12 01:45:27,26.86,4.82005E+12
Rodneyfort,2019-03-02 18:03:20,44.26,2.49406E+12
West Angela,2019-01-10 12:17:31,12.74,2.10872E+12
Roberthaven,2019-05-04 14:48:56,25.66,1.0262E+12
North Jason,2019-03-28 22:28:44,9.19,7.00702E+12
Williamsview,2019-01-03 16:19:25,18.93,1.97949E+12
Leahton,2019-02-26 18:42:15,8.85,6.96667E+12
West Anthony,2019-03-06 02:27:01,10.02,9.39676E+12
New Kimberlyborough,2019-04-25 22:58:38,29.67,4.82357E+12
Roberthaven,2019-02-24 10:26:34,7.8,2.18057E+12
New Paulton,2019-05-01 03:12:49,8.28,8.5271E+12
West Patrickchester,2019-03-19 05:46:20,40.86,8.98889E+11
Deanville,2019-04-25 03:29:09,41.52,6.05593E+12
West Josephberg,2019-02-19 16:22:09,36.39,3.32213E+12
West Samuelburgh,2019-05-03 14:33:41,41.12,7.33084E+12
West Heidi,2019-03-14 23:46:50,24.4,4.90857E+12
Loganberg,2019-04-01 01:06:03,8.23,6.78729E+11
Huntermouth,2019-02-10 23:32:13,25.79,1.88038E+12
South Latoya,2019-01-11 18:44:14,27.41,8.6623E+12
New Paulville,2019-03-18 22:54:11,25.05,5.0318E+12
Grahamburgh,2019-01-15 11:44:20,40.69,3.07021E+11
Port Frank,2019-02-02 14:14:37,41.47,6.74661E+12
East Kaylahaven,2019-02-28 04:13:57,25.96,3.66252E+12
Rodneyfort,2019-02-03 00:48:41,44.86,2.3257E+12
South Karenland,2019-02-12 06:52:03,36.01,4.01593E+12
West Robert,2019-02-15 04:21:47,12.28,1.4425E+12
North Markport,2019-02-18 08:17:35,38.09,9.25013E+11
Williamsview,2019-03-12 06:47:43,8.35,1.94044E+12
Richardfort,2019-02-24 08:40:38,13.93,5.62855E+12
New Kimberlyborough,2019-03-14 16:47:25,27.9,6.7508E+12
Reynoldsfurt,2019-03-25 14:33:27,34.06,6.60442E+12
South Karenland,2019-05-08 02:31:25,41.33,5.68892E+12
Rodneyfort,2019-04-25 20:57:43,21.7,8.5346E+12
Justinberg,2019-04-23 08:59:48,14.65,9.87823E+12
West Josephberg,2019-03-05 03:27:34,12.91,1.02685E+11
South Karenland,2019-03-03 14:48:30,37.3,4.104E+12
Leahton,2019-05-05 10:34:50,17.05,5.84659E+12
Martinezhaven,2019-03-19 15:31:26,5.3,2.64338E+11
North Jason,2019-03-03 02:13:37,28.02,2.67055E+12
Jerryton,2019-03-03 17:50:23,28.08,6.00341E+12
Lake Scottton,2019-02-18 09:22:35,25.02,3.90934E+12
South Evanton,2019-02-14 05:55:36,42.5,9.95366E+12
Rogerston,2019-05-08 01:54:18,32.69,1.64341E+12
West Samuelburgh,2019-05-02 13:55:01,38.77,2.93169E+12
West Ericstad,2019-04-24 03:20:14,7.31,4.29248E+12
New Paulville,2019-03-10 10:45:24,4.43,1.21392E+12
Hurleymouth,2019-05-04 21:50:30,21.44,4.03966E+12
West Samuelburgh,2019-03-03 03:17:20,25.17,1.78175E+12
Joneschester,2019-03-01 18:48:35,34.71,3.34326E+12
New Paulville,2019-04-03 07:51:03,32.7,9.56256E+12
Simpsonburgh,2019-01-19 23:06:27,15.83,2.33191E+11
Port Angela,2019-04-17 06:23:18,16.34,7.12053E+12
West Ericstad,2019-04-04 13:03:16,28.52,6.43285E+12
New Kimberlyborough,2019-03-16 01:38:48,17.19,2.77047E+12
Joneschester,2019-01-30 17:41:45,36.78,1.66403E+12
North Markport,2019-04-26 04:45:54,44.37,1.62842E+12
Hurleymouth,2019-03-22 11:19:58,32.85,8.44929E+12
Barajasview,2019-01-15 02:59:07,19.52,8.26811E+12
